,LENSID,FLAGTYPE,NIMG,ZLENS,VELDISP,ELLIP,PHIE,GAMMA,PHIG,ZSRC,XSRC,YSRC,MAGI_IN,MAGI,IMSEP,XIMG,YIMG,MAG,DELAY,KAPPA,FSTAR,DD,DDLUM,ABMAG_I,APMAG_I,KCORR,DS,DDS,SIGCRIT,DSLUM,L_I,REFF,REFF_T,weight,ABMAGI_IN,ABMAGI_IN3,ABMAGI_IN4,Min Distance,cosmodc2_index,sersic_bulge,size_minor_bulge_true,dec_true,size_disk_true,size_minor_disk_true,size_true,size_bulge_true,mag_i,ra_true,mag_true_i,sersic_disk,magnification,size_minor_true,galaxy_id,seed,sf_z,tau_y,tau_g,sf_u,tau_u,sf_y,tau_z,sf_r,tau_i,M_i,sf_g,tau_r,sf_i,flux_y,flux_u_noMW,dec,flux_z_noMW,flux_i,flux_g_noMW,is_pointsource,is_variable,flux_g,flux_i_noMW,flux_z,flux_r_noMW,ra,flux_u,flux_y_noMW,redshift,flux_r,ellipticity_1_disk_true,ellipticity_2_bulge_true,ellipticity_2_true,ellipticity_2_disk_true,ellipticity_1_true,ellipticity_2_true_dc2,ellipticity_1_bulge_true,ellipticity_disk_true,ellipticity_true,ellipticity_1_bulge_true_dc2,ellipticity_bulge_true,ellipticity_1_true_dc2,ellipticity_1_disk_true_dc2,ellipticity_2_bulge_true_dc2,ellipticity_2_disk_true_dc2,Mag_true_i_lsst_z0,bulge_to_total_ratio_i,stellar_mass_bulge,halo_mass,stellar_mass,stellar_mass_disk,shear_2,shear_1,convergence,phi_disk,q_disk,phi_bulge,q_bulge,phi,q,size_true_kpc,size_true_log,size_true_kpc_log,bulge_to_total_ratio_i_log,stellar_mass_log,stellar_mass_bulge_log,stellar_mass_disk_log,halo_mass_log,EINSTEIN
3,31148653,0,2,1.016,280.5434,0.2816117,91.63868,0.04949279,-28.94337,2.05,-0.1778311,0.2046562,23.53,22.59304,1.718983,"[0.5098, -0.6504, 0.0, 0.0]","[-0.3036, 0.9648, 0.0, 0.0]","[-2.3702, 2.8349, 0.0, 0.0]","[123.252, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1657.95959,6738.37256,-23.7379169,21.4208603,1.01600003,1721.65,625.762,0.0,16015.6,0.0,0.0,0.0,1,-21.476716037421312,-21.29134126823783,-22.12534126823783,0.0377392307794521,7880.0,4.0,0.19365545,-28.423667295647945,0.35298184,0.119836375,0.24185535,0.24185534,23.635747655355868,53.411439598892585,23.62928,1.0,0.9940608593150456,0.19365546,2575574808,7654620,0.3884,227.7,199.9,0.589,190.2,0.3681,223.1,0.4569,217.3,-22.095501244801767,0.5174,209.6,0.416,1850.8649,1110.4215,-28.450903564298176,1958.069,1619.7703,1296.991,1,1,1267.0121,1641.0992,1938.4537,1430.9755,53.41613018880387,1077.3535,1866.3611,2.0731046,1406.4995,0.05931519,-0.10987076,-0.10987076,-0.4895169,0.013313136,0.0179656822215727,0.013313136,0.49309745,0.1106744,0.1092064919144723,0.1106744,0.1092064919144723,0.4865573375746306,0.0179656822215727,0.0800440922164799,-22.375889,1.0,43377377000.0,1264926950760.5637,43377377000.0,7.2298346,-0.0007853030493828,-0.000856343108429,-0.0029835366778026,-0.7251066548060666,0.3394973053692351,-0.7251066542640979,0.8007077452097718,-0.7251066542640979,0.8007077452097718,2.033144619527262,-0.6164443012886349,0.3081682715199052,0.0,10.63726328698506,10.63726328698506,0.8591283618686706,12.102065445829917,0.8238666434862586
4,350831,0,2,0.186,209.894,0.162288,-129.3107,0.02303224,113.0656,1.78,-0.1146524,-0.307523,23.05,21.73989,2.211824,"[-0.5152, 0.2093, 0.0, 0.0]","[-1.3395, 0.7503, 0.0, 0.0]","[3.3423, -3.3577, 0.0, 0.0]","[0.0, 17.911, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",642.642029,903.937744,-22.3543797,17.6123142,0.186000004,1742.86,1468.69,0.0,13469.5,0.0,0.0,0.0,1,-22.410757369094785,-21.44570137819719,-22.32470137819719,0.0505901446378549,5555.0,4.0,0.11626987,-27.539466206510937,0.18663518,0.042275596,0.17353988,0.17353988,22.6988440052217,53.57037508940321,22.672026,1.0,0.9756019734356676,0.11626987,2569421570,5843108,0.3108,147.9,130.3,0.4702,124.1,0.2947,145.0,0.3653,141.3,-22.33995649433536,0.4133,136.5,0.3327,2838.512,1845.5732,-27.55349279899002,2831.7961,2780.2747,2131.2393,1,1,2074.4285,2822.3865,2799.2659,2278.1218,53.57728097234901,1781.6975,2865.9053,1.7317647,2233.7446,0.0003231617,-0.19761238,-0.19761238,-0.6306368,0.00010126391,0.1322242856776352,0.00010126391,0.6306369,0.1976124,0.1468584380180048,0.1976124,0.1468584380180048,0.4686666603446702,0.1322242856776352,0.4219649563302555,-22.902842,1.0,123916450000.0,1519991770501.4084,123916450000.0,8.303938,-0.012879346524651,0.0262531014967541,-0.0128490902545552,-0.7851419448642819,0.2265146343100839,-0.7851419448823524,0.6699893805965621,-0.7851419448823524,0.6699893805965621,1.4765721425217162,-0.7606007071916681,0.1692546706263193,0.0,11.09312896311546,11.09312896311546,0.9192840979275044,12.181841236605626,1.069203006204712
5,4789516,0,2,0.476,221.8196,0.07348919,148.7687,0.03216037,67.83229,1.29,0.1835049,0.1264667,22.05,21.0906,1.57778,"[-0.465, 0.7969, 0.0, 0.0]","[-0.3162, 0.6309, 0.0, 0.0]","[-2.4197, 4.593, 0.0, 0.0]","[31.977, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1225.91333,2670.74561,-22.7168407,19.8923206,0.476000011,1726.55,936.396,0.0,9054.2,0.0,0.0,0.0,1,-22.258250406405985,-21.688456064481123,-22.42045606448112,0.0265850042715261,3582.0,4.0,1.2200731,-28.51271003296237,1.998768,1.6581817,1.2249231,1.2249231,22.900289512292023,53.58680083883848,22.876587,1.0,0.9784056697170056,1.2200731,2566532405,3051011,0.4769,235.6,205.9,0.7264,195.6,0.4518,230.7,0.562,224.5,-22.39433732369453,0.6372,216.3,0.5112,4533.205,3274.4,-28.531657855193327,4441.899,4489.948,3487.161,1,1,3404.944,4550.145,4396.6377,4422.2065,53.59049171698717,3174.474,4571.689,1.2949572,4345.8613,-0.02367626,-0.0019184827,-0.0019184827,-0.09007424,-0.0005042784,-0.0014181509596601,-0.0005042784,0.09313396,0.0019836514,-0.0013869826366089,0.0019836514,-0.0013869826366089,-0.0651199040217465,-0.0014181509596601,-0.0665832808168418,-23.547558,1.0,203964000000.0,34586594093430.99,203964000000.0,0.009454483,-0.001332899446246,0.0047124984795642,-0.0109871026168462,-0.913917310666264,0.8296019318357728,-0.9139173063839194,0.9960405515173762,-0.9139173063839194,0.9960405515173762,10.266721822770906,0.0881088247871089,1.0114317949555256,0.0,11.309553520460044,11.309553520460044,-2.024362214718046,13.53890779707488,0.7685510379311249
7,1215224,0,4,0.288,233.8837,0.3405463,-136.3464,0.03353729,-39.73777,2.92,0.001668022,0.1348162,24.45,22.81531,2.364349,"[0.5588, 0.7397, -1.3066, -1.2551]","[-0.9761, 1.2335, 0.0491, 0.3994]","[-2.888, 4.5069, 22.9141, -21.2407]","[17.305, 0.0, 8.44, 8.477]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",892.950745,1481.35535,-22.7147598,18.4265366,0.287999988,1601.4,1308.01,0.0,24607.8,0.0,0.0,0.0,1,-22.21736395402709,-21.16775635825152,-22.08175635825152,0.0418586620010659,11108.0,4.0,0.5742278,-27.710845545884567,0.8511965,0.7472127,0.63604903,0.6358237,25.95739746893112,53.4815276428646,26.000332,1.0,1.0403363275300626,0.57441413,2582046555,9619210,0.4676,401.0,360.6,0.7048,346.3,0.4436,394.4,0.5488,386.0,-22.11184528319924,0.6203,374.9,0.5003,886.5291,168.11363,-27.71966583553497,764.29846,752.7953,553.4864,1,1,539.60547,763.7969,755.8675,708.0195,53.48723209283551,162.62732,894.73285,2.8909001,694.70294,0.042024992,-0.038856756,-0.038868096,-0.04965878,0.032893106,-0.0462594601935957,0.03288351,0.06505455,0.05091842,-0.0212716611858836,0.050903562,-0.0212778694259279,-0.0271850985616266,-0.0462459630794134,-0.0591021572506761,-23.166016,0.9736703,84909810000.0,4140930743166.197,84917370000.0,7563002.5,-0.0267610359002924,0.0414468503457637,0.0183373273856436,-0.4342343513533695,0.8778380894462353,-0.4342343319253877,0.9031241976809576,-0.4342343376301784,0.9030972960599494,5.017176560727044,-0.196509405361459,0.700459384663438,-0.011588077136383,10.928996535044424,10.928957869074871,6.878694243955017,12.617097967012333,1.2867780357033276
9,10798336,0,2,0.652,203.2357,0.4613552,-16.85168,0.05666409,55.53548,1.32,-0.1762579,0.2931977,21.89,22.96481,0.9475528,"[-0.5369, 0.0396, 0.0, 0.0]","[0.6129, -0.1391, 0.0, 0.0]","[2.1694, -0.3716, 0.0, 0.0]","[0.0, 52.968, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1431.09827,3905.61597,-22.6193199,20.9911289,0.65200001,1730.69,711.654,0.0,9315.27,0.0,0.0,0.0,1,-22.30397722647839,-21.90311725536477,-22.646117255364764,0.0680457771989265,4225.0,4.0,0.22567365,-28.56371806287128,0.40113467,0.292002,0.24657285,0.24635561,23.20721854229836,53.00936768757399,23.17175,1.0,0.9678593035608076,0.22580045,2567293907,3110638,0.2187,140.6,122.9,0.3283,116.7,0.2076,137.7,0.2563,134.0,-22.661204995109536,0.2893,129.1,0.2339,5232.431,3897.8906,-28.584333416720423,5447.23,5337.1235,4096.6816,1,1,3974.3232,5428.147,5376.855,5192.694,53.01515910832174,3747.7378,5289.0356,1.386352,5079.4116,-0.093882844,-0.035173643,-0.035301752,-0.12639521,-0.026221158,-0.0240895647280362,-0.026126003,0.15744758,0.04397457,-0.0366558342680018,0.043814987,-0.0367893430179408,-0.1317214193917148,-0.0240021435508804,-0.0862508378298058,-22.016039,0.9956763,24803731000.0,1009862131019.7184,24804920000.0,1186642.4,-0.0100012493880892,0.0095266561273047,-0.016562249777468,-1.1048277755860416,0.7279400386576728,-1.1048277753660638,0.9160483634828755,-1.104827768069131,0.9157554763861144,2.0819622725321425,-0.6080547450327256,0.3184728553476386,-0.0018818302240678,10.394537830702395,10.39451701271486,6.074319862084236,12.00426208682782,0.4891500401546878
10,16700246,0,2,0.778,263.6331,0.4161564,157.8133,0.02530418,-34.17097,1.94,-0.730763,0.2403755,21.03,21.67378,2.087716,"[-1.7163, 0.2477, 0.0, 0.0]","[0.64, -0.068, 0.0, 0.0]","[1.6441, -0.5527, 0.0, 0.0]","[0.0, 257.814, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1533.73291,4848.56543,-23.3963394,20.8097267,0.777999997,1731.91,804.371,0.0,14969.9,0.0,0.0,0.0,1,-24.068094499173096,-23.664660333157897,-24.52266033315789,0.1584360033750299,8117.0,4.0,1.1181179,-28.51568679287479,2.1370606,1.2045738,1.2537855,1.2537855,23.76433925242581,52.85815107413668,23.738365,1.0,0.9763608759870108,1.118118,2576125831,3054157,0.3207,266.4,241.3,0.4864,232.3,0.304,262.3,0.3773,257.1,-24.505150807887272,0.4273,250.2,0.3435,16442.316,9767.094,-28.54025887414728,17385.48,14306.187,11519.824,1,1,11221.48,14517.734,17190.309,12736.424,52.869854049949,9441.51,16597.018,2.0974655,12492.156,-0.094716586,-0.0538021,-0.0538021,-0.26248488,-0.019414265,-0.0078244767190708,-0.019414265,0.27905115,0.057197724,0.0566600136071814,0.057197724,0.0566600136071814,0.276427823575747,-0.0078244767190708,-0.0381733595241796,-23.441774,1.0,209558850000.0,1447116107718.3098,209558850000.0,0.08327377,0.0324873728785958,0.0062843443896873,-0.0125741376022954,-0.9585502658877512,0.5636591243348907,-0.958550259220995,0.8917937054542937,-0.958550259220995,0.8917937054542937,10.525769542462188,0.0982232429264515,1.0222538570803985,0.0,11.32130600649654,11.32130600649654,-1.0794917733609863,12.160503377641788,0.9296585019869544
11,835723,0,2,0.252,230.6747,0.1821093,136.1814,0.08975024,-83.19053,2.35,0.3228492,-0.3145961,23.21,22.24522,2.636097,"[1.0143, -0.7355, 0.0, 0.0]","[-1.5459, 0.4257, 0.0, 0.0]","[2.5154, -2.4317, 0.0, 0.0]","[0.0, 42.059, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",811.226501,1271.60071,-22.6515179,18.1222363,0.252000004,1685.82,1382.64,0.0,18919.1,0.0,0.0,0.0,1,-22.9225023597299,-21.92219635493384,-22.72419635493384,0.0532908825862943,9346.0,4.0,0.22482215,-28.13551656237945,0.43133727,0.26738483,0.23831671,0.23597053,24.02308922802169,52.67251156187052,24.10869,1.0,1.0820327692367284,0.22591309,2577936761,4479673,0.2401,145.0,126.1,0.3604,119.6,0.2279,141.9,0.2814,137.9,-22.776604338779208,0.3176,132.7,0.2568,2847.4736,917.7306,-28.15554298043396,2530.4075,2122.4336,1896.8654,1,1,1841.2614,2157.8533,2498.3647,2036.1753,52.6925635553174,883.1064,2877.887,2.3403397,1992.3473,-0.21150926,0.010475818,0.011569041,0.10160043,-0.024084143,-0.003296765121983,-0.021808298,0.23464614,0.026718695,0.0240090185665307,0.024193896,0.0265145240782153,0.232853095385173,-0.0029852353672157,-0.0289525077330108,-21.316223,0.98740065,12476141000.0,1483553939109.8591,12552947000.0,76806380.0,-0.022615042472211,-0.0068374855479516,0.0383635721473163,1.346890369611466,0.6198973320222049,1.34689036444091,0.9527552419253188,1.3468903683483409,0.9479532320396156,1.969343027656548,-0.6228455052558696,0.2943213697912965,-0.0055065912229082,10.098745695186953,10.096080274322995,7.885397296642342,12.171303341035006,1.256869917577283
12,2355253,0,2,0.366,207.0141,0.407818,62.93353,0.09396976,168.9541,1.86,0.2288259,-0.4585956,22.01,22.74406,1.664178,"[0.5093, -0.2056, 0.0, 0.0]","[-1.2356, 0.2672, 0.0, 0.0]","[3.2007, -0.5086, 0.0, 0.0]","[0.0, 47.691, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1048.56909,1956.58362,-22.4531384,19.3703537,0.365999997,1738.05,1237.23,0.0,14216.6,0.0,0.0,0.0,1,-23.387978724140964,-22.58752117972966,-23.47052117972966,0.0453510903168444,2149.0,4.0,0.68949914,-27.966042696260416,1.1413482,0.77644515,0.7582552,0.7582552,23.38448950927791,52.62786801019192,23.399002,1.0,1.013456299092884,0.68949914,1883513692,4260989,0.3342,328.8,290.7,0.5011,277.3,0.3173,322.5,0.3915,314.5,-23.45576822648068,0.4417,304.0,0.3573,7003.63,4394.396,-27.983924844087355,6895.5117,6464.8906,4986.7534,1,1,4853.7754,6562.8926,6815.635,5314.307,52.64423217462194,4242.472,7071.4487,1.9028844,5209.8506,0.11560007,0.03772159,0.03772159,0.1511297,0.028853487,0.047468163490486,0.028853487,0.19027233,0.047491495,-0.0014884592611487,0.047491495,-0.0014884592611487,-0.0059634386358691,0.047468163490486,0.1901788564333602,-23.311834,1.0,178945430000.0,2946322258929.5776,178945430000.0,0.5625744,0.0087994772428787,-0.0076445821047119,0.0065926117042238,0.4589116001478575,0.6802877266323963,0.4589115785819601,0.9093233789610172,0.4589115785819601,0.9093233789610172,6.423925536623592,-0.1201846026809161,0.8078004981453276,0.0,11.252720611632837,11.252720611632837,-0.249820034331668,12.46928024679061,0.8785783911880672
16,26201840,0,2,0.942,208.4491,0.5364811,151.6634,0.07507069,-130.7904,2.05,0.2325497,-0.2035636,20.23,20.02447,1.033116,"[0.6715, -0.1253, 0.0, 0.0]","[-0.4621, 0.1955, 0.0, 0.0]","[1.9268, -1.2084, 0.0, 0.0]","[0.0, 71.177, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1627.30383,6137.1543,-22.9032574,21.9785767,0.941999972,1721.65,685.507,0.0,16015.6,0.0,0.0,0.0,1,-24.850716095421312,-24.59134126823783,-25.42534126823783,0.1581082192658493,7595.0,4.0,0.5858681,-28.1521098630726,1.1665039,0.68737745,0.63647723,0.6316825,23.55401108191957,53.76427552496325,23.5228,1.0,0.9716631788295642,0.58797884,2575040125,3923887,0.1918,289.7,255.8,0.2881,244.0,0.1821,284.1,0.2248,277.1,-25.270977967622017,0.2538,267.7,0.2051,35755.03,21673.201,-28.170434225605,37437.332,31344.797,24993.52,1,1,24295.064,31845.467,36982.36,27444.672,53.76784673619407,20892.336,36117.71,2.0157921,26877.496,0.15686238,0.029904861,0.031478252,0.20539728,0.024040014,0.0395671498033509,0.022838412,0.25844505,0.039608113,-0.0017109027898225,0.037628364,-0.0018009189067953,-0.0117510919832895,0.0375894476583295,0.2581777641965821,-22.452333,0.96785015,59168950000.0,1996302249464.7888,59249447000.0,80501950.0,0.0006188205117255,0.0110995134232484,-0.0145377253143021,0.4592916261778962,0.589262864168463,0.4592916244148805,0.9274723682111078,0.4592916281413484,0.923801839201207,5.366274774430924,-0.196217128635995,0.7296729064954255,-0.0141918782968448,10.77268430124806,10.772093862444969,7.905806400417343,12.30022629613829,0.4982640611699178
18,31417072,0,4,1.02,286.4178,0.4026993,-117.8411,0.05856892,88.85828,2.45,0.04184945,-0.1739044,20.93,19.95828,2.161054,"[-0.2134, 0.9405, -0.6077, 0.7328]","[-1.2928, 0.0881, 0.4722, 0.6501]","[2.4473, -5.1238, -1.4204, 6.5478]","[0.0, 74.159, 111.537, 71.874]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1659.46106,6771.26465,-23.7952785,21.3780708,1.01999998,1672.07,700.439,0.0,19901.8,0.0,0.0,0.0,1,-24.5444618077558,-24.29618791891421,-25.09518791891421,0.2108786900840706,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737131,0.1929164996539658,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,0.9897109182080993
21,25211436,0,2,0.926,246.6039,0.1042036,-109.3782,0.07199334,-86.08752,2.24,-0.06218032,0.3883665,23.55,23.14913,1.690097,"[0.1056, -0.1183, 0.0, 0.0]","[-0.4081, 1.2671, 0.0, 0.0]","[-1.4466, 2.2374, 0.0, 0.0]","[131.593, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1619.84619,6008.78027,-23.33218,21.4877529,0.925999999,1699.97,737.065,0.0,17845.6,0.0,0.0,0.0,1,-21.781655772351524,-21.473474508593256,-22.281474508593256,0.0439330092095479,8817.0,4.0,0.33469853,-28.037409599371813,0.6201015,0.57569987,0.3514008,0.35086516,25.47767640500764,52.68893804238039,25.43142,1.0,0.958290509318916,0.33519134,2577369063,577827,0.3308,299.2,270.9,0.5046,260.8,0.3133,294.6,0.39,288.7,-22.32008777962947,0.4424,280.9,0.3547,2671.8076,1143.61,-28.056036056048136,2641.2664,2156.0615,1846.4182,1,1,1800.021,2186.8691,2612.646,2022.5492,52.709101944106855,1106.726,2696.2383,2.2609553,1985.0901,0.024576036,-0.017677171,-0.017697452,-0.027834387,0.01562575,-0.0052572710518442,0.015607845,0.037131317,0.023608556,0.0229893802869033,0.023581501,0.0230157558708913,0.0361989664123156,-0.0052512463270882,-0.0082685869320867,-22.065687,0.9711477,33729077000.0,3917106288495.775,33732430000.0,3351292.5,0.0152578996231104,-0.0025275393208495,-0.0216477297502124,-0.4237440778522907,0.9283961140675242,-0.423744073802633,0.9539235494223196,-0.4237441034022379,0.9538719075591529,2.9201396286165022,-0.4541972541236206,0.4654036180538525,-0.0127147140499127,10.528047627805812,10.528004456834282,6.5252123346070325,12.592965356046443,0.7593760584698745
22,11305503,0,2,0.664,229.6149,0.147829,-75.48472,0.03844357,-137.5556,1.33,0.0120845,0.4437741,20.89,21.61852,1.287806,"[0.0833, -0.0103, 0.0, 0.0]","[1.0854, -0.199, 0.0, 0.0]","[2.186, -0.5112, 0.0, 0.0]","[0.0, 92.216, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1442.2522,3993.44653,-22.9484386,20.7223015,0.663999975,1731.95,701.949,0.0,9402.58,0.0,0.0,0.0,1,-23.312235211096084,-22.92104028481356,-23.66804028481356,0.038825538436532,1578.0,4.0,0.16207135,-27.57807132878437,0.29694912,0.19331184,0.19825006,0.19816521,22.986272691682355,52.88893308639682,22.950947,1.0,0.9679872711860016,0.16210938,1879418365,7605849,0.165,209.5,187.0,0.2502,179.0,0.1564,205.8,0.1941,201.1,-23.70049923308113,0.2198,194.9,0.1767,13813.907,10235.277,-27.58977380356832,14153.655,14046.528,10811.145,1,1,10517.361,14263.978,13987.417,13742.278,52.89353280835395,9876.087,13949.468,1.3513035,13469.314,-0.1887963,0.045071576,0.045114625,0.095092386,-0.089570515,-0.0734941057259392,-0.08948504,0.21139206,0.10029061,-0.068175800786679,0.10019491,-0.068240919951171,-0.1438378771458558,-0.0734239736883965,-0.1549105164161957,-22.022144,0.997456,20191529000.0,955205383932.3944,20192250000.0,720775.94,0.0124263656892806,-0.0155692156492137,-0.0165964050483726,1.3375038189849846,0.650993150156299,1.337503799649584,0.8178597152689,1.3375038121623437,0.8177015971857846,1.6697733605047194,-0.7027866725719476,0.2226575280567156,-0.0011062529130605,10.30518471459199,10.30516920706252,5.857800281162416,11.980096761655416,0.6154075647653432
23,1852726,0,2,0.336,155.9553,0.3938172,-31.40579,0.02326229,-138.8069,2.12,0.1858899,0.142964,21.53,21.96206,0.9967294,"[-0.1779, 0.7167, 0.0, 0.0]","[-0.1935, 0.246, 0.0, 0.0]","[-0.6717, 3.2034, 0.0, 0.0]","[11.933, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",991.969177,1770.56165,-21.6877213,19.888834,0.335999995,1714.19,1289.43,0.0,16686.6,0.0,0.0,0.0,1,-24.24583928226632,-23.368146034743265,-24.194146034743262,0.0590086637350178,8171.0,4.0,0.44893935,-27.652646188972952,0.5383807,0.4108299,0.45593694,0.45593694,23.568473977707324,53.055521065960136,23.479446,1.0,0.9212743364433784,0.44893935,2576139842,9861748,0.2366,327.7,298.7,0.3583,288.4,0.2244,322.9,0.2782,316.9,-24.251638443208662,0.3149,309.0,0.2534,12618.816,7308.6494,-27.66351362506061,13307.094,10862.488,8849.921,1,1,8566.12,11062.354,13121.915,9814.179,53.06610787656519,7007.5024,12766.671,2.1332908,9580.871,0.13437322,4.6486217e-05,4.6486217e-05,0.00080776896,0.007733031,0.0050124562294405,0.007733031,0.13437565,0.007733171,-0.0058887362244263,0.007733171,-0.0058887362244263,-0.1023257795947641,0.0050124562294405,0.0870990772578036,-23.507298,1.0,266743600000.0,2686042804281.6904,266743600000.0,0.08797903,0.0001475178394237,0.0166838082596965,-0.0419843470804879,0.0030056555546095,0.7630843924877999,0.0030056556774941,0.98465234459546,0.0030056556774941,0.98465234459546,3.819795233299708,-0.3410952198439934,0.5820400824322404,0.0,11.426094008160131,11.426094008160131,-1.0556208305834085,12.429112929224438,0.526904099729634
24,1230155,0,2,0.29,171.3957,0.2156415,100.8289,0.05097542,-133.269,3.07,0.218501,-0.3124781,22.17,22.34072,1.369422,"[0.457, -0.2166, 0.0, 0.0]","[-0.9576, 0.2347, 0.0, 0.0]","[2.6263, -0.8545, 0.0, 0.0]","[0.0, 20.423, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",897.297363,1493.19238,-21.9008598,19.2597198,0.289999992,1577.81,1293.41,0.0,26136.3,0.0,0.0,0.0,1,-24.62622054026744,-23.558227520735905,-24.474227520735905,0.2543781078044039,11421.0,4.0,1.0182037,-27.964502757993003,1.4408895,1.0257503,1.17699,1.1768749,25.245623364500624,53.09342887524897,25.186926,1.0,0.9473730135006404,1.0182172,2582751812,7731129,0.3027,204.2,180.8,0.4571,172.6,0.2871,200.4,0.3555,195.5,-24.71563132510607,0.402,189.1,0.324,12139.821,1897.6042,-27.98245386494505,10470.2295,10337.127,7403.385,1,1,7191.636,10510.513,10337.381,9837.506,53.106114151948965,1826.6805,12268.915,2.9897976,9625.612,-0.027251823,0.07133108,0.07137256,0.16608055,-0.0117113795,0.0537661028405412,-0.0117045725,0.16830155,0.072327025,-0.0483496131066196,0.07228499,-0.0483777300484547,-0.112572680112447,0.0537348541981441,0.1251111676777506,-24.096367,0.984701,545603780000.0,9073284560405.637,545618230000.0,14421056.0,-0.0152895326596106,0.0074417870027084,-0.0275405533062289,0.8667174867468512,0.7118868018311798,0.866717481476122,0.8651757843443444,0.8667174857791917,0.8651026701575385,9.198365423092898,0.0707727729850928,0.9637106587801372,-0.0066956210383183,11.736888872381815,11.736877370496398,7.158997063308594,12.957764531628516,0.6935437175628474
25,260510,0,2,0.168,174.1807,0.01983679,48.5889,0.0334452,-105.0797,1.64,0.235946,-0.2575746,21.99,21.94669,1.479331,"[0.6448, -0.2759, 0.0, 0.0]","[-0.8771, 0.2808, 0.0, 0.0]","[3.3677, -1.0407, 0.0, 0.0]","[0.0, 11.476, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",592.024109,807.653442,-21.8516388,17.8524857,0.167999998,1747.31,1485.39,0.0,12178.1,0.0,0.0,0.0,1,-23.26989768162795,-22.314892771040657,-23.180892771040657,0.1175479092072634,5393.0,4.0,0.31323114,-27.96056068752061,0.42922685,0.3336987,0.3403205,0.3403205,22.86730337690312,52.81727978919165,22.87362,1.0,1.0058339286076592,0.31323114,2568954424,5402829,0.296,80.51,72.18,0.4444,69.24,0.2809,79.14,0.3469,77.41,-23.0641365867976,0.3916,75.12,0.3165,8390.743,5216.0513,-27.97571765582347,8734.645,8487.034,6412.2563,1,1,6228.9478,8625.67,8626.898,7104.303,52.8267946413637,5023.612,8477.606,1.62638,6956.023,0.11569455,-0.01585174,-0.015851742,-0.047885876,0.038298562,0.034120762658704,0.03829856,0.12521297,0.041449457,-0.02353361373379,0.041449454,-0.0235336158488852,-0.0710917357749021,0.0341207595920837,0.1030740137404611,-23.101261,1.0,100789710000.0,2222745375008.4507,100789710000.0,3.3603284,0.0036970689749462,-0.0041728038665692,0.002888677568069,-0.1962153424131596,0.777441307873448,-0.196215326120167,0.9204004471724424,-0.1962153391853993,0.9204004423544552,2.8967402088199945,-0.4681118893739936,0.4619095476942316,0.0,11.0034161956181,11.0034161956181,0.5263817224310627,12.346889715257523,0.7427849305468637
